GEOID,date,smokePM_pred
geoId/01001,2009-06-26,7.18616098623003
geoId/01001,2009-07-01,0.0762523803139567
geoId/01001,2009-07-02,2.01030968054444
geoId/01001,2009-09-03,2.88556441963103
geoId/01001,2009-09-29,0.000571963347244407
geoId/01001,2009-11-06,0.082493002829994
geoId/01001,2009-11-19,0.157648315728057
geoId/01001,2010-02-16,0.00251185759238
geoId/01001,2010-02-18,0.171348427891383
geoId/01001,2010-03-29,0.258583554079295
geoId/01001,2010-03-30,0.326664716247595
geoId/01001,2010-04-01,0.183530595230343
geoId/01001,2010-04-02,0.180694106942423
geoId/01001,2010-04-04,6.30329177517743
geoId/01001,2010-04-05,4.09915840202265
geoId/01001,2010-04-06,0.80252251078118
geoId/01001,2010-04-13,0.183201752621733
geoId/01001,2010-04-16,7.8770023280498
geoId/01001,2010-04-17,5.7990250740125
geoId/01001,2010-04-18,1.4134205819758
geoId/01001,2010-04-29,0.243655520435241
geoId/01001,2010-05-05,2.94560102094964
geoId/01001,2010-05-06,7.76227549283567
geoId/01001,2010-05-14,0.793344253135591
geoId/01001,2010-05-20,0.00881589993850389
geoId/01001,2010-05-29,3.97478835758612
geoId/01001,2010-07-01,0.473534314462896
geoId/01001,2010-09-13,0.122615086127888
geoId/01001,2010-09-21,7.31849169770951
geoId/01001,2010-09-28,0.0286768798284253
geoId/01001,2010-10-11,0.0052830398994198
geoId/01001,2010-10-12,4.28067697188426
geoId/01001,2010-10-18,5.36105496453463
geoId/01001,2010-10-22,0.866036665647129
geoId/01001,2010-11-01,0.0559970590757009
geoId/01001,2010-11-08,0.0746163327107597
geoId/01001,2010-11-09,0.457474270682983
geoId/01001,2010-11-12,0.617549677691406
geoId/01001,2010-11-20,4.55999047136783
geoId/01001,2010-12-09,0.0200086506388815
geoId/01001,2010-12-10,0.402715425170715
geoId/01001,2010-12-11,4.14162507827658
geoId/01001,2010-12-23,0.168268630061723
geoId/01001,2010-12-24,0.077996346788708
geoId/01001,2010-12-28,0.00174247251689263
geoId/01001,2011-01-04,0.148306041997671
geoId/01001,2011-01-16,0.0290297234741081
geoId/01001,2011-01-25,3.18770299647933
geoId/01001,2011-02-16,0.619797986913815
geoId/01001,2011-02-17,0.282493416549638
geoId/01001,2011-02-22,0.00200413344316532
geoId/01001,2011-02-23,0.00455874577570545
geoId/01001,2011-02-24,7.93283037535194
geoId/01001,2011-02-26,0.134340098073387
geoId/01001,2011-03-01,0.00424826834389621
geoId/01001,2011-03-17,0.078859016178332
geoId/01001,2011-03-24,0.0551401156398912
geoId/01001,2011-04-03,2.69819846608838
geoId/01001,2011-04-06,0.113648618225466
geoId/01001,2011-04-10,0.557510539328198
geoId/01001,2011-04-13,0.511227799053551
